Model,OOS_R2_vs_HA (%),Success_Ratio (%),CER_annual (%),CER_gain_vs_HA (%),CW_stat,CW_pvalue,PT_stat,PT_pvalue
HA,0.0,61.702127659574465,0.015996826564370095,0.0,,,,
CF,-0.4307621254556526,61.702127659574465,0.012543627545146568,-0.003453199019223526,-0.7863838134189092,0.7841786682579428,,
Net1,-17.43404315982644,42.5531914893617,-0.0344313849339407,-0.050428211498310796,-6.75665898573921,0.9999999999929395,-1.7858820912445708,0.9629408243818819
Net2,-10.924067783230807,46.808510638297875,0.0042812667728033315,-0.011715559791566764,-3.757382661279524,0.9999141500830593,-0.6360385652863852,0.7376243569830745
