Model,Validation MSE,In-sample R2 (%),Success Ratio (%),"CER Model (%, ann.)","CER HA (%, ann.)","CER Gain vs HA (%, ann.)",Best Hyperparameters
Net1,0.6156327724456787,2.7291222070834342,62.25279449699054,0.02145077298933984,0.006115248587605548,0.015335524401734291,"{'optimizer_choice': 'Adam', 'lr_grid': 0.001, 'weight_decay_grid': 0.0001, 'l1_lambda_grid': 1e-05, 'dropout': 0.11397064469294382, 'dropout_grid': 0.25, 'batch_size_grid': 64, 'n_hidden1': 103, 'optimizer': 'RMSprop', 'lr': 2.06152321130779e-05, 'weight_decay': 9.360159847789654e-06, 'l1_lambda': 3.5012686800410253e-06, 'batch_size': 256}"
Net2,0.624245285987854,2.633956992762465,60.36113499570077,0.018675186405303634,0.006115248587605548,0.012559937817698087,"{'optimizer_choice': 'RMSprop', 'lr_grid': 0.0001, 'weight_decay_grid': 0.0001, 'l1_lambda_grid': 1e-05, 'dropout': 0.2774820346775848, 'dropout_grid': 0.25, 'batch_size_grid': 256, 'n_hidden1': 59, 'n_hidden2': 40, 'optimizer': 'Adam', 'lr': 3.1542589036999383e-05, 'weight_decay': 0.00055997506082255, 'l1_lambda': 0.00011657142680415705, 'batch_size': 256}"
Net3,0.6159619688987732,-0.32856413041777444,47.0335339638865,0.0013038250852304145,0.006115248587605548,-0.004811423502375133,"{'optimizer_choice': 'RMSprop', 'lr_grid': 0.0001, 'weight_decay_grid': 1e-05, 'l1_lambda_grid': 0.0, 'dropout': 0.3536261418823999, 'dropout_grid': 0.1, 'batch_size_grid': 128, 'n_hidden1': 118, 'n_hidden2': 41, 'n_hidden3': 8, 'optimizer': 'Adam', 'lr': 1.4126028605465664e-05, 'weight_decay': 4.074495736331232e-06, 'l1_lambda': 0.00011046965586458068, 'batch_size': 256}"
HA_Benchmark,,0.0,59.41530524505589,0.006115248587605548,0.006115248587605548,0.0,N/A
