Model,Validation MSE,In-sample R2 (%),Success Ratio (%),"CER Model (%, ann.)","CER HA (%, ann.)","CER Gain vs HA (pp, ann.)",Best Hyperparameters
Net1,0.6377963423728943,6.633530489194084,70.5073086844368,0.125328987883222,0.006115248587605548,0.11921373929561645,"{'n_hidden1_range': 67, 'n_hidden2_range': 58, 'n_hidden3_range': 8, 'n_hidden4_range': 16, 'n_hidden5_range': 15, 'dropout': 0.1360849254066951, 'n_hidden1': 87, 'optimizer': 'Adam', 'lr': 0.001180285133592331, 'weight_decay': 0.0, 'l1_lambda': 0.008123507011102279, 'batch_size': 256}"
Net2,0.6283027529716492,21.697675158944897,70.5073086844368,0.11692326719412449,0.006115248587605548,0.11080801860651894,"{'n_hidden1_range': 118, 'n_hidden2_range': 11, 'n_hidden3_range': 11, 'n_hidden4_range': 11, 'n_hidden5_range': 9, 'dropout': 0.43132497694183264, 'n_hidden1': 51, 'n_hidden2': 58, 'optimizer': 'Adam', 'lr': 0.004483981320137473, 'weight_decay': 0.0, 'l1_lambda': 0.007785008274450399, 'batch_size': 256}"
Net3,0.6225258111953735,9.951290382152479,66.55202063628548,0.05767329688382006,0.006115248587605548,0.051558048296214506,"{'n_hidden1_range': 49, 'n_hidden2_range': 51, 'n_hidden3_range': 10, 'n_hidden4_range': 13, 'n_hidden5_range': 13, 'dropout': 0.491556639346039, 'n_hidden1': 26, 'n_hidden2': 10, 'n_hidden3': 9, 'optimizer': 'Adam', 'lr': 0.004847845675728682, 'weight_decay': 0.0, 'l1_lambda': 0.00198548352703488, 'batch_size': 256}"
HA_Benchmark,,0.0,59.41530524505589,0.006115248587605548,0.006115248587605548,0.0,N/A
