Model,Validation MSE,In-sample R2,Success Ratio (%),CER (%)
Net1,0.20240148901939392,0.7283047281745368,97.25378787878788,-1.6820078250020742
Net2,0.20202335715293884,0.7655424497559933,97.34848484848484,-3.3110256772488356
Net3,0.19557474553585052,0.8138869465281491,97.06439393939394,-1.5431955456733704
Net4,0.20771156251430511,0.6696109908946096,94.98106060606061,-4.135176166892052
Net5,0.19914335012435913,0.7474838664715995,97.06439393939394,-7.634424744173884
DNet1,0.29872676730155945,0.7811555240710568,95.26515151515152,0.021003512665629387
DNet2,0.17094093561172485,0.7737205344354876,97.1590909090909,-8.18870309740305
DNet3,0.20359398424625397,0.7455065335273967,96.49621212121212,-2.6570075657218695
