Model,OOS_R2_vs_HA (%),Success_Ratio (%),CER_annual (%),CER_gain_vs_HA (%),CW_stat,CW_pvalue,PT_stat,PT_pvalue
HA,0.0,61.702127659574465,0.015996826564370095,0.0,,,,
CF,-0.4307621254556526,61.702127659574465,0.012543627545146568,-0.003453199019223526,-0.7863838134189092,0.7841786682579428,,
Net1,1.729862611507349,63.829787234042556,0.03153792917487412,0.015541102610504027,2.6578140030509503,0.003932464282473069,1.6832082228084753,0.04616739478169185
Net2,-5.372116492775358,55.319148936170215,0.004788833802019341,-0.011207992762350754,-0.5600272349728121,0.7122695694529221,-0.8999999779651607,0.8159398687900947
