Model,Validation MSE,In-sample R2,Success Ratio (%),CER (%)
Net1,0.534629762172699,0.5973557397935063,93.75,-0.2987945219501853
Net2,0.5105255246162415,0.17266472654912168,73.10606060606061,4.640264369663782
Net3,0.39757782220840454,0.4827665501942411,91.09848484848484,-1.5637991367839277
Net4,0.3282627463340759,0.6307963826819445,94.50757575757575,-2.523456118069589
Net5,0.5675613880157471,0.4681679580842528,91.28787878787878,5.787382763810456
DNet1,0.5194616317749023,0.6815089802505601,94.98106060606061,6.635146820917726
DNet2,0.34081193804740906,0.4280217029471183,86.5530303030303,5.200031446292996
DNet3,0.5192614197731018,0.07544255909114417,64.39393939393939,9.180428559193388
