Model,OOS_R2_vs_HA (%),Success_Ratio (%),CER_annual (%),CW_stat,CW_pvalue,PT_stat,PT_pvalue
HA,0.0,61.702127659574465,0.015996826564370095,,,,
CF,-0.4307621254556526,61.702127659574465,0.012543627545146568,-0.7863838134189092,0.7841786682579428,,
Net1,-4.467086640792717,55.319148936170215,0.010190489048284346,-0.2667247910697312,0.6051594676572948,0.5841170497528029,0.27957078230802956
Net2,-2.7463727098173463,57.446808510638306,0.03247665495271195,-0.14937448340100898,0.5593709274404064,0.2811982712151464,0.3892791652800799
