Model,OOS_R2_vs_HA (%),Success_Ratio (%),CER_annual (%),CER_gain_vs_HA (%),CW_stat,CW_pvalue,PT_stat,PT_pvalue
HA,0.0,61.702127659574465,0.015996826564370095,0.0,,,,
CF,-0.4307621254556526,61.702127659574465,0.012543627545146568,-0.003453199019223526,-0.7863838134189092,0.7841786682579428,,
Net1,-16.571308034967423,48.93617021276596,0.0073492874245157285,-0.008647539139854367,-1.1073592179806357,0.8659306746515187,-0.7218030651210409,0.7647922176447066
Net2,-11.531413467880892,42.5531914893617,-0.010039547458380522,-0.026036374022750615,-1.0013235862743453,0.8416648032464595,-1.7858820912445708,0.9629408243818819
