Model,OOS_R2_vs_HA (%),Success_Ratio (%),CER_annual (%),CER_gain_vs_HA (%),CW_stat,CW_pvalue,PT_stat,PT_pvalue
HA,0.0,61.702127659574465,0.015996826564370095,0.0,,,,
CF,-0.4307621254556526,61.702127659574465,0.012543627545146568,-0.003453199019223526,-0.7863838134189092,0.7841786682579428,,
Net1,-8.207716631826045,53.191489361702125,0.015132018641342962,-0.0008648079230271326,-1.4317836902457086,0.9238971318267528,0.3491934670291494,0.36347203522348726
Net2,-32.37612506515188,55.319148936170215,0.007539735264510945,-0.00845709129985915,-13.406037221623567,1.0,-0.8999999779651607,0.8159398687900947
Net3,-40.150729827378974,51.06382978723404,-0.009774974197697954,-0.02577180076206805,-28.99441401793005,1.0,-1.8837208841131294,0.9701986299941437
Net4,-32.329022503591155,55.319148936170215,0.005595014470054252,-0.010401812094315843,-15.983480430295165,1.0,-0.8999999779651607,0.8159398687900947
Net5,-6.857522683141148,51.06382978723404,0.0034901849960953667,-0.012506641568274728,-4.121917489046273,0.9999812134106238,-1.8837208841131294,0.9701986299941437
DNet1,-26.23614444136542,51.06382978723404,0.001014808144853193,-0.014982018419516902,-1.7204594037165934,0.9573255165310993,-1.4319629000357679,0.9239227804022168
DNet2,2.0141796493710062,68.08510638297872,0.03143421765342414,0.015437391089054047,1.3184226791299114,0.09368109647188005,1.9681214001093637,0.02452703555374558
DNet3,-12.177381843369917,44.680851063829785,0.023051337581346178,0.007054511016976083,-7.329053117873418,0.9999999999998841,-1.805588899381464,0.9645087110581173
