Model,OOS_R2_vs_HA (%),Success_Ratio (%),CER_annual (%),CER_gain_vs_HA (%),CW_stat,CW_pvalue,PT_stat,PT_pvalue
HA,0.0,62.7177700348432,0.010960928977106908,0.0,,,0.0,0.5
CF,0.0553788168431435,62.36933797909408,0.01073562867176435,-0.000225300305342558,0.0,0.5,-0.7736980457541391,0.7804453120220676
Net1,-7.443365313225603,60.62717770034843,0.019785801202078887,0.00882487222497198,0.0,0.5,1.8473010837193014,0.032351757991803454
